epoch,train acc,test acc,train loss,test loss
0,25.554,34.14,2.2912154579040567,1.7257307425093726
1,44.496,49.33,1.4999806520196008,1.3810260322528145
2,59.028,50.45,1.1539749569108833,1.6282595934959265
3,65.606,58.18,0.9737563334019308,1.1904891950253862
4,68.0,59.84,0.9096020844908609,1.1791436795990307
5,70.194,70.43,0.851612954816983,0.8685782173761545
6,72.808,67.28,0.7830751106591082,0.9753079401989715
7,74.086,67.25,0.7536630105568062,0.9785739006325841
8,74.566,59.41,0.733675980407766,1.3132671059701388
9,75.42,72.09,0.7190261779118255,0.8641912914312686
10,75.528,75.28,0.7140668850256248,0.7373990123264325
11,75.728,72.1,0.7033133513067139,0.8346309906568009
12,75.692,72.81,0.7021840395869464,0.8043477137248737
13,76.196,56.46,0.691937551941539,1.4525086681682842
14,76.384,69.16,0.6842866521459776,0.9206378347576617
15,76.316,72.21,0.688050710832699,0.808868126461681
16,76.366,73.56,0.6848577790186333,0.7757425757166677
17,76.534,53.67,0.6800352672468907,1.449094036516671
18,76.106,74.31,0.6896816952176683,0.7475059732271079
19,76.728,73.06,0.675854026022357,0.7861784624215513
20,76.678,67.79,0.6767572913883744,0.9395435298212801
21,76.69,61.53,0.6811836110195592,1.3985353887271577
22,76.586,61.79,0.6794388426547621,1.2155271686684972
23,76.77,69.52,0.6748764211084319,0.9098601437414797
24,77.22,65.56,0.6588181224166012,1.0811660918183983
25,77.034,74.52,0.6694097930109051,0.742652235511012
26,77.024,76.0,0.6662467056962823,0.6989719663946011
27,77.144,75.95,0.6674756548455032,0.6882993004287774
28,77.162,70.5,0.6642722147859523,0.9365266951890038
29,77.312,77.58,0.6602745590515802,0.6594665025750669
30,77.008,64.5,0.6684660088897743,1.026767221883463
31,77.304,67.66,0.6626794069662204,0.9518161488417238
32,77.458,69.54,0.6603191418195488,0.9093592723908897
33,77.442,65.47,0.6558857498284112,1.0575836554122047
34,77.464,75.41,0.6548304083308423,0.7066066330804611
35,77.328,72.45,0.6635895064452179,0.7969764455819663
36,77.192,72.17,0.6663945372182439,0.7848924489828725
37,77.24,65.89,0.664245109068455,0.9783766262066631
38,76.924,71.78,0.6660768952380368,0.8323273218858737
39,77.442,77.14,0.6565642997536687,0.6746491586057523
40,77.52,69.55,0.6568934431708324,0.9458069853698865
41,77.322,71.08,0.6573606877279679,0.8189289572711189
42,77.072,72.59,0.6639457509655717,0.8057798348105373
43,77.322,73.67,0.658175978983585,0.7788901100524317
44,77.598,74.94,0.6566818899743769,0.7240175269663144
45,77.594,69.82,0.6571452038473451,0.8864182694651448
46,77.268,69.55,0.6616748162209797,0.8760058116227293
47,77.498,73.22,0.6579776500004343,0.7874645342270787
48,77.498,72.5,0.6614470589698619,0.8081505993684641
49,77.086,74.17,0.6655633166880465,0.7464959130119592
50,77.354,75.67,0.6556774551336078,0.7057087975569045
51,77.126,74.12,0.6620815926096184,0.7621222930594375
52,77.274,68.88,0.6615724113608352,0.9300488292599638
53,77.45,71.36,0.6567089453158437,0.867404353790009
54,77.282,66.38,0.661621397379035,0.9922973848760318
55,77.306,72.02,0.6598445140945552,0.8623486984842501
56,77.23,69.76,0.6600060005334426,0.8917600910503644
57,77.376,71.25,0.6597725838632517,0.8451311673028782
58,77.122,74.95,0.6633229581156528,0.7317988532610213
59,77.072,71.85,0.6640469266276899,0.8170818353232484
60,87.642,88.13,0.3654723388410423,0.3545183385142122
61,90.798,88.35,0.27282135490320925,0.34262191911284534
62,92.282,88.22,0.22783037607801776,0.34036570723159626
63,93.336,88.1,0.1965472977572691,0.3506314236396989
64,94.008,87.27,0.17952158147980407,0.3773181886433032
65,94.128,87.23,0.17099923371341524,0.39366930079893375
66,94.456,86.57,0.16378984938394123,0.4106245106949022
67,94.234,87.27,0.1671807271036929,0.37896380360467363
68,94.368,87.12,0.16271147073764336,0.39437104092714503
69,94.756,86.93,0.15614524754318418,0.4060306429934387
70,94.856,87.01,0.1530569087283749,0.405533566023595
71,94.632,86.52,0.1573112957234365,0.4255728770416385
72,95.056,85.58,0.14458802378821645,0.46096772280411596
73,95.056,85.92,0.14453437368511218,0.42167464905558305
74,95.166,86.01,0.13887297143141952,0.4405721659406115
75,95.434,87.56,0.13535190333796382,0.37952330665656936
76,95.576,86.58,0.13034206794030245,0.4275959200514391
77,95.768,86.34,0.1279123720789825,0.44354463466249716
78,95.894,84.61,0.12440868175242356,0.5037827281810986
79,95.636,86.54,0.1284609225025056,0.42604687713538875
80,95.818,86.48,0.1253927277778862,0.4454542200881452
81,95.72,86.26,0.12303586166515298,0.44558170775826367
82,96.214,87.67,0.11665317296424091,0.404494915633632
83,96.124,86.27,0.11677614383140886,0.44305591610150213
84,96.254,86.26,0.11406124683254311,0.4470864129475892
85,96.104,86.2,0.11589873689736263,0.45682670558079747
86,96.246,86.59,0.11357052946747451,0.4293790092816749
87,96.222,86.05,0.11179506380268285,0.44503176123046645
88,96.05,86.7,0.1166562760687926,0.4217568691879416
89,96.54,83.46,0.10529342785320332,0.546738534927749
90,96.494,86.04,0.10639707667464707,0.44802928738557873
91,96.43,87.5,0.10758862287367403,0.3991235079475866
92,96.546,87.19,0.10377647882024743,0.4351071690718016
93,96.484,86.22,0.1053038495795364,0.4720421482127505
94,96.256,86.25,0.11234325607785728,0.45749784127687115
95,96.7,86.8,0.09942222195894947,0.43170350904281907
96,96.464,85.71,0.10888184480215957,0.46282912187349684
97,96.648,87.11,0.10140405569621198,0.41607949230522395
98,96.712,85.76,0.10206808230344513,0.4736641434292062
99,96.45,87.13,0.10699918926547515,0.41037912076464095
100,96.756,87.89,0.10051709826635251,0.39036894881258755
101,96.652,87.14,0.10140464780822406,0.4262212336468049
102,96.67,87.57,0.10151590329880325,0.4085684505859598
103,96.614,85.2,0.10301176571631024,0.5004392497051067
104,96.846,85.1,0.09853457527947794,0.49829981504633025
105,96.49,86.73,0.1052456985693127,0.41881546080588533
106,97.152,86.39,0.08931636718749494,0.46728909034698535
107,96.548,87.18,0.10372560155582129,0.41668729755444267
108,96.878,85.18,0.09738702199812704,0.5031383193838901
109,97.036,87.47,0.09256798321615382,0.3934142164731273
110,96.536,86.36,0.10604409895144923,0.4392890305921864
111,96.762,87.67,0.09899905227215261,0.4052637848562707
112,96.924,86.34,0.09568763311796834,0.4594162140850918
113,97.212,87.54,0.08709135628901231,0.40178611131902703
114,96.72,85.64,0.09989079107784846,0.45691032013811245
115,96.822,86.39,0.10076820849925422,0.44665335335384926
116,96.888,85.37,0.0971198087175015,0.5033412647371094
117,96.926,85.78,0.09421190577431064,0.4624123362401804
118,96.816,84.3,0.09561253972119167,0.5187143264963223
119,96.766,86.55,0.09937986229014269,0.44366705244460614
120,99.15,90.68,0.03566512736971225,0.30012554841967054
